PL,EN
niej,her
ojciec,Father
zbyt,too
która,which
zobaczyć,see
przestań,Stop
sposób,way
pracy,work
dzisiaj,today
"sie', '65486', '(sie', 'could', 'be', 'a', 'common', 'misspelling', 'mistake;', 'should', 'be",Si 65486 (Sie Could Be A Common Missspelling Mistake; Should
później,later
bardziej,more
będą,will be
aż,up to
życia,Life
jutro,Tomorrow
tą,this
rację,right
żebyś,That you
długo,long
tato,Dad
każdy,Each
twoim,Your
chciałem,I wanted
dni,days
twojej,Your
nadzieję,hope
stanie,standing
koniec,End of
znam,I know
mamo,Mom
swoją,its
problem,Problem
żyje,He lives
potrzebuję,I need
widziałem,I saw
spokój,peace
powiem,I will say
minut,minutes
broń,weapon
panu,Mr.
mógł,could
nami,us
wy,You
nocy,night
wciąż,still
znowu,again
pieniądze,Money
imię,Name
dnia,on
zabić,kill
drzwi,door
pierwszy,First
taka,Such
nasz,our
posłuchaj,Listen
ponieważ,Because
słuchaj,Listen
jakie,what
gdyby,If
miło,Nice
spójrz,Look
chciałbym,I would like
sir,sir
razie,now
nasze,Our
dokładnie,Exactly
czuję,I feel
zrobił,He did
dobre,Good
samo,Sam
nadal,still
człowiek,Man
twoją,Your
znaleźć,find
chwilę,moments
chciał,He wanted
kogo,whom
zostać,stay
czegoś,something
wszystkim,all
został,left
roku,year
mówić,speak
jesteście,You are
facet,guy
mów,Speak
powiedziałem,I said
były,there were
którzy,who
dziecko,child
idziemy,We go
sama,Sam
macie,you have
mówiłem,I said
we,in
napisy,subtitles
mogą,can
spokojnie,Relax
sobą,ourselves
bym,I would
miała,She was
przecież,after all
dom,House
poza,except
zamknij,Close
byłeś,You were
lubię,I like
oh,Oh
żadnych,no
pomocy,Help
prawie,almost
gdzieś,Somewhere
porozmawiać,Talk
wcześniej,Earlier
podoba,I like
zrobię,I will do
czekaj,Wait
dość,quite
twojego,Your
lub,or
moich,my
razy,times
znasz,You know
mały,Little
ciągle,still
jakby,like
wydaje,It spends
mama,Mama
powinniśmy,We should
jeżeli,If
jack,jack
powinieneś,You should
innego,another
sprawy,matters
rozumiesz,You understand
trzymaj,Hold
końcu,finally
powodu,reason
jedno,one
pamiętasz,You remember
pomysł,Idea
noc,night
pewien,One
którą,which
wiemy,We know
bądź,be
żebym,Let me
numer,number
oczy,Eyes
lata,The years
dwie,two
miejscu,place
dokąd,where
och,Oh
pokoju,room
chodźmy,"""Lets"" go"
ojca,Father
weź,Take
idę,"""Im"" going"
samochód,Car
nowy,new
jednak,However
świat,world
źle,bad
którego,which
niczego,nothing
oto,Here is
dwóch,two
sprawa,Case
swój,Your
idzie,goes
takim,Such
jedną,one
wystarczy,38813 is
byłam,I was
rano,In the morning
nimi,them
halo,Halo
byś,By
życiu,life
całe,all
wiedziałem,I knew
swojego,your
śmierć,Death
ręce,Hands
musiał,Must
którym,which
całą,all
chcą,They want
da,Da
właściwie,actually
zrób,Do
panowie,Gentlemen
skoro,Since
drogi,Road
czujesz,You feel
dam,I will give
pozwól,Let
wyglądasz,you look
jednego,one
jedna,one
mówił,he spoke
których,which
świecie,world
patrz,see
nikogo,Nobody
byli,they were
pytanie,Question
swoim,
której,which
powinienem,I should
jezu,Jesus
dać,give
rzecz,REVELOPMENT
powiedziała,said
powiedziałeś,You said
najpierw,first
sądzę,I think
prawo,Law
matka,Mother
widzieć,see
"John', '35318', '(this', 'is', 'not', 'Polish', 'given', 'name', '-', 'see",John 35318 (This is not Polish Given Name - See
dr,Dr.
telefon,phone
podczas,during
wczoraj,yesterday
śmierci,Death
pracę,work
pamiętam,I remember
uważaj,Be careful
parę,A few
wrócić,come back
diabła,devil
the,The
robię,I do
zrobiłem,I did
kobiety,Women
poważnie,seriously
miejsca,places
znów,again
cholery,cholery
zrobiłeś,you did
sprawę,case
zaczekaj,Wait
powiesz,you say
rób,Do
natychmiast,immediately
dziewczyna,Girl
również,also
działa,works
słyszałem,I heard
pięć,five
super,Super
swoich,his
mówią,They say
witam,Hello
całkiem,quite
cokolwiek,Whatever
witaj,Hello
gdybym,If I was
żona,Wife
prawdę,Truth
zostaw,Leave
bóg,God
wierzę,I believe
szybciej,faster
nieźle,Not bad
wielu,many
inaczej,otherwise
gra,game
dopiero,only
wcale,32513 not at
pieniędzy,money
pójdę,I will go
godziny,
wiedział,he knew
udało,I succeeded
człowieka,man
stać,stand
wina,Wine
wiecie,you know
swojej,your
poznać,to know
inne,Other
jednym,one
myślałam,I thought
miałam,I had
chwili,moment
innych,Others
dopóki,As long as
nowa,New
kobieta,woman
nowego,new
miłość,Love
ziemi,Earth
inny,Other
przynajmniej,at least
nasza,Our
ważne,Important
wiadomość,Message
dolarów,dollars
słowa,Words
słucham,I listen to
naszych,our
naszej,our
między,Between
dostać,get
czasem,sometimes
chciałam,I wanted
jaką,which
gówno,Shit
brzmi,sounds
chcemy,We want
każdego,each
raczej,rather
możliwe,possible
każdym,every
widziałeś,You saw
dawaj,Get
nazywa,names
powinien,should
zabrać,take
dziewczyny,Girls
miałeś,You had
chłopaki,Guys
doktorze,Doctor
potrzebuje,I need
zgadza,agrees
zrobimy,we will do
godzin,hours
ostatni,last
wieczór,Evening
świata,World
serce,heart
martw,dead
wielki,Great
powrotem,return
żyć,live
one,They
plan,Plan
pl,PL
byłoby,it would be
potrzebujemy,We need
dobranoc,Good night
żadnego,no
kapitanie,Captain
zobaczenia,see
możecie,You can
wspaniale,great
ogóle,total
także,Also
pół,half
idziesz,You go
takich,such
pojęcia,Concepts
twoich,Your
czymś,something
cztery,four
skarbie,Skarbie
tata,Dad
naszego,our
panią,Lady
wybacz,Forgive
chcecie,You want
zrobisz,you will do
pokój,room
poczekaj,Wait
uda,thighs
głowy,heads
szczęście,Happiness
wyjść,go out
robota,Robot
naszym,our
syn,Son
gotowy,Ready
cieszę,I am happy
głowę,27280
rozmawiać,talk
krwi,Blood
wszystkiego,all
zabił,killed
czasie,time
ciało,Body
należy,it should be
dziwne,strange
została,it was
przeciwko,against
ruszaj,move
cała,all
strony,Pages
jaka,what
mógłbym,I could
oznacza,means
pomoc,Help
taką,Such
zostało,26386
miasta,Cities
tłumaczenie,Translation
końca,end
zostanie,will remain
policja,Police
mieli,They had
pewna,sure
obchodzi,celebrates
ode,from
syna,Son
czasami,sometimes
twarz,face
rok,year
mieliśmy,We had
lecz,but
ostatnio,recently
uwierzyć,believe
daleko,Far
rodziny,Families
mogłem,I could
lubisz,You like
blisko,Near
zły,Bad
środku,middle
boga,God
byliśmy,We were
drodze,road
szkoły,schools
czeka,Waiting
słowo,word
radę,Council
człowiekiem,man
mogła,she could
brat,Brother
mała,Little
krew,blood
najbardziej,The most
wejść,enter
zewnątrz,outside
mąż,Husband
robimy,We do
słyszysz,You hear
kimś,someone
część,Part
wieczorem,in the evening
widziałam,I saw
zna,knows
wody,Water
moi,my
potrzebujesz,You need
lubi,likes
wracaj,come back
rękę,hand
tydzień,Week
frank,Frank
wrócę,I will come back
innym,Other
wypadek,accident
mówiłeś,You said
stronie,page
mógłbyś,You could
sprawie,case
zobaczymy,"""Well"" see"
wziąć,take
gdybyś,If you were
naszą,our
nazywam,names
późno,late
zależy,It depends
człowieku,man
góry,Mountains
pomóż,Help
jechać,drive
pokaż,Show
ciężko,hard
napisów,inscriptions
serio,seriously
roboty,Robots
zrobi,will do
mniej,less
broni,weapons
kiedykolwiek,ever
temat,Topic
mało,Little
popatrz,Look
charlie,Charlie
prawa,Rights
miesięcy,months
pójść,go
koleś,Dude
jedziemy,"""Were"" going"
wkrótce,soon
nowe,New
pierwsze,First
nazwisko,Surname
miasto,city
racja,right
leci,flies
zostań,Stay
stronę,page
nieważne,Never mind
chciała,She wanted
chłopak,boy
zdjęcia,photos
znalazłem,I found
powinno,should
robią,They do
powinnaś,You should
statek,Ship
zostały,left
wszędzie,everywhere
prosto,Straight
wielkie,Great
dół,bottom
zupełnie,completely
tędy,This way
spotkanie,Meeting
małe,small
ponad,over
według,According to
widział,he saw
mówiąc,Speaking
drogę,road
doktor,Doctor
praca,Work
drugi,second
byłaś,You were
górę,top
wiedzą,They know
mieście,city
jakoś,somehow
film,Film
czyli,or
chociaż,Although
kłopoty,Trouble
droga,road
samochodu,car
szansę,Chance
zatrzymać,stop
niemożliwe,impossible
spać,sleep
chłopcy,boys
mógłby,could
wasza,Your
sądzisz,you think
przyjaciel,Friend
michael,Michael
tymi,these
złe,bad
mogli,they could
synu,Son
powiedziałam,I said
szkoda,pity
całym,whole
żaden,No
taa,yeah
trzech,three
wami,you
pracuje,works
faceta,guy
sprawdzić,Check
pogadać,talk
serca,Hearts
you,You
kraju,country
dał,he gave
trudno,hardly
drugiej,second
zaczyna,starts
brak,no
choć,Although
powinnam,I should
ruszać,move
chciałabym,I would like
cicho,quiet
samego,
dziewczynę,Girl
godzinę,at
piękna,beautiful
jakąś,some
tom,volume
www,www
widzenia,vision
spotkać,meet
pracować,work
żadnej,no
pa,PA
spróbuj,Try
znać,Know
ciała,Body
przyjaciół,Friends
razu,Once
zapomnij,Forget
harry,Harry
najlepszy,Best
ostatnie,last
policji,Police
otwórz,Open
problemy,Problems
ojcem,Father
przykład,Example
myśleć,think
głupi,stupid
wolno,slowly
słyszałeś,You heard
powodzenia,Good luck
rodzina,Family
pomoże,19280 will
kilku,A few
uwagę,attention
muszą,must
chwila,moment
jakaś,some
zdjęcie,Photo
środka,center
nowym,New
szefie,Boss
odejść,leave
wspólnego,common
musiałem,I had to
sami,Sami
ziemię,Earth
dawno,Long
będziecie,You will be
trzymać,hold
pracuję,I work
pewnego,One
inni,Others
gotowi,Ready
sześć,six
głowie,head
zabierz,Take
sekund,seconds
zmienić,change
zabiję,I will kill
czekać,wait
gość,guest
walczyć,fight
chwileczkę,Wait for a moment
wystarczająco,enough
musicie,You must
dasz,you will give
tysięcy,thousands of
pierwsza,First
zadzwonić,call
rady,Council
prawdopodobnie,Probably
zostawić,leave
niestety,Unfortunately
zobacz,See
nagle,Suddenly
wezmę,"""Ill"" take"
zabawne,Funny
żonę,wife
panem,Mr.
większość,Most of
wracam,"""Im"" coming back"
joe,Joe
wiedziałam,I knew
brata,brother
często,often
powie,will say
dobrym,good
tyłu,back
błąd,Error
boję,I am afraid of
cel,CELE
rany,wounds
mówiłam,I spoke
wasze,Your
niczym,like
obiecuję,I promise
początku,beginning
historia,History
chciałeś,You wanted
uwaga,Attention
gotowa,ready
zacząć,start
zatem,So
tony,Tony
istnieje,There is
jednej,one
pokazać,show
nikomu,nobody
jakim,what
rodzice,Parents
okay,Okay
szkole,school
czuje,I feel
los,The fate of
george,George
david,David
obok,next to
uspokój,Calm
chodźcie,Come
miało,it was
całkowicie,completely
stój,Stand
wiadomości,News
pomyślałem,I thought
nogi,legs
org,org
ulicy,17330
matki,Mothers
fbi,FBI
jedź,drive
wojny,wars
ciągu,In
okazji,Occasion
zadzwonię,I will call
około,around
ojcze,Father
samym,alone
uważam,I think
miłości,Love
mike,Mike
przyszedł,He came
tygodniu,week
prawdziwe,real
zadzwoń,Call
widać,You can see
myśl,Thought
pozwolić,allow
słyszę,I hear
wracać,come back
dajcie,Give me
historii,History
http,http
zajmę,I will occupy
wieku,age
jedynie,only
zamiast,instead of
jakiegoś,some
umrzeć,die
wróci,will come back
przyjdzie,will come
łatwo,easily
siostra,sister
oraz,and
prawdziwy,real
czyż,Czyż
następny,next
proste,Simple
